"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"Chatham*",6,"x256","Pterodroma imberi","Imber's petrel","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Saint Helena",2,"x041","Puffinus pacificoides","Saint Helena shearwater","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Bermuda",3,"x046","Rallus ibycus","Lesser Bermuda rail","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Bermuda",4,"x049","Rallus recessus","Bermuda rail","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Chatham*",7,"x220","Tadorna sp./Chatham","Chatham Island Shelduck","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Bermuda",5,"x047","Zapornia piercei","Lesser Bermuda crake","obs_ins",NA,NA,NA,NA,NA,NA,NA,NA
"Gambier*",NA,NA,"Acrocephalus astrolabii","Mangareva reed warbler","obs_date",1839,1839,1839,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Acrocephalus luscinius","Guam reed warbler","obs_date",1969,1969,1969,NA,NA,NA,NA,NA
"Society*",NA,NA,"Acrocephalus musae","Society Islands reed warbler","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Acrocephalus nijoi","Aguijan Reed-warbler","obs_date",1995,1995,1995,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Acrocephalus yamashinae","Pagan reed warbler","obs_date",1969,1969,1969,NA,NA,NA,NA,NA
"Bermuda",NA,NA,"Aegolius gradyi","Bermuda saw-whet owl","obs_date",1600,1600,1600,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Akialoa ellisiana","Oahu akialoa","obs_date",1937,1937,1937,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Akialoa lanaiensis","Lanai or Maui Nui akialoa","obs_date",1892,1892,1892,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Akialoa obscura","Lesser akialoa","obs_date",1940,1940,1940,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Akialoa stejnegeri","Kauai akialoa","obs_date",1969,1969,1969,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Alectroenas nitidissimus","Mauritius Blue Pigeon","obs_date",1840,1840,1840,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Alectroenas payandeei","Rodrigues blue pigeon","obs_date",1690,1690,1690,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Alectroenas sp./Reunion","Reunion Blue pigeon","obs_date",1674,1674,1674,NA,NA,NA,NA,NA
"Vanuatu",NA,NA,"Alopecoenas ferrugineus","Tanna Ground-Dove","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Solomon*",NA,NA,"Alopecoenas salamonis","Thick-billed ground-dove","obs_date",1927,1927,1927,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Alopochen kervazoi","Reunion shelduck","obs_date",1690,1690,1690,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Alopochen mauritiana","Mauritius sheldgoose","obs_date",1698,1698,1698,NA,NA,NA,NA,NA
"Windward*",NA,NA,"Amazona martinicana","Martinique parrot","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Windward*",NA,NA,"Amazona violacea","Guadeloupe parrot","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Amsterdam*",NA,NA,"Anas marecula","Amsterdam island duck","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Amsterdam*",NA,NA,"Anas sp./StPaul","St.Paul garganey","obs_date",1793,1793,1793,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Anas theodori","Mascarene Teal","obs_date",1690,1690,1690,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Anatidae sp./Rodrigues","Rodrigues Stout-legged duck","obs_date",1610,1610,1610,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Anthornis melanocephala","Chatham bellbird","obs_date",1906,1906,1906,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Aphanapteryx bonasia","Mauritian Red Rail","obs_date",1700,1700,1700,NA,NA,NA,NA,NA
"Pohnpei*",NA,NA,"Aplonis corvina","Kosrae Starling","obs_date",1880,1880,1880,NA,NA,NA,NA,NA
"Norfolk*",NA,NA,"Aplonis fusca","Tasman starling","obs_date",1923,1923,1923,NA,NA,NA,NA,NA
"Cook*",NA,NA,"Aplonis mavornata","Mauke or Mysterious starling","obs_date",1825,1825,1825,NA,NA,NA,NA,NA
"Society*",NA,NA,"Aplonis ulietensis","Raiatea Starling or Bay Thrush","obs_date",1812,1812,1812,NA,NA,NA,NA,NA
"Cuba*",NA,NA,"Ara tricolor","Cuban macaw","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Atlantisia podarces","Saint Helena rail","obs_date",1550,1550,1550,NA,NA,NA,NA,NA
"Fernando*",NA,NA,"Atlantisia sp./FernandoNoronha","Fernando de Noonha Rail","obs_date",1503,1503,1503,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Aythya sp./Reunion","Reunion Pochard","obs_date",1710,1710,1710,NA,NA,NA,NA,NA
"Bermuda",NA,NA,"Bermuteo avivorus","Bermuda hawk","obs_date",1603,1610,NA,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Bulweria bifax","Olson's petrel","obs_date",1502,1502,1502,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Cabalus modestus","Chatham rail","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Society*",NA,NA,"Caloenas maculata","Spotted green pigeon","obs_date",1928,1928,1928,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Camptorhynchus labradorius","Labrador Duck","obs_date",1875,1875,1875,NA,NA,NA,NA,NA
"Windward*",NA,NA,"Caracara lutosa","Guadalupe caracara","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Bonin*",NA,NA,"Carpodacus ferreorostris","Bonin Grosbeak","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Gambier*",NA,NA,"cf.Ptilinopus sp./Mangavera","Mangareva Fruit dove","obs_date",1800,1900,NA,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Chaetoptila angustipluma","kioea","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Chenonetta finschi","Finsch's Duck","obs_date",1500,1600,NA,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Chloridops kona","Kona grosbeak","obs_date",1894,1894,1894,NA,NA,NA,NA,NA
"Bahamas*",NA,NA,"Chlorostilbon bracei","Brace's Emerald","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Cuba*",NA,NA,"Chlorostilbon elegans","Gould's Emerald","obs_date",1840,1840,1840,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Ciridops anna","ula-ai-hawane","obs_date",1937,1937,1937,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Coenocorypha barrierensis","North island or little barrier snipe","obs_date",1870,1870,1870,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Coenocorypha iredalei","South island snipe","obs_date",1964,1964,1964,NA,NA,NA,NA,NA
"Bermuda",NA,NA,"Colaptes oceanicus","Bermuda flicker","obs_date",1623,1623,1623,NA,NA,NA,NA,NA
"Ryukyu*",NA,NA,"Columba jouyi","Ryukyu Pigeon","obs_date",1936,1936,1936,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Columba thiriouxi","Mauritius woodpigeon","obs_date",1730,1730,1730,NA,NA,NA,NA,NA
"Bonin*",NA,NA,"Columba versicolor","Bonin wood pigeon","obs_date",1889,1889,1889,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Conuropsis carolinensis","Carolina Parakeet","obs_date",1918,1918,1918,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Corvus hawaiiensis","Hawaiian crow","obs_date",2002,2002,2002,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Coturnix novaezelandiae","New Zealand quail","obs_date",1875,1875,1875,NA,NA,NA,NA,NA
"Madagascar",NA,NA,"Coua delalandei","Delalande's coua","obs_date",1834,1834,1834,NA,NA,NA,NA,NA
"Society*",NA,NA,"Cyanoramphus ulietanus","Society parakeet","obs_date",1773,1773,1773,NA,NA,NA,NA,NA
"Society*",NA,NA,"Cyanoramphus zealandicus","Black-fronted Parakeet","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Cuba*",NA,NA,"Cygnus sumnerensis","Pouwa or New Zealand swan","obs_date",1650,1650,1650,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Diaphorapteryx hawkinsi","Hawkin's rail","obs_date",1895,1895,1895,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Drepanis funerea","Black Mamo","obs_date",1907,1907,1907,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Drepanis pacifica","Hawaii Mamo","obs_date",1898,1898,1898,NA,NA,NA,NA,NA
"Australasia",NA,NA,"Dromaius baudinianus","Kangaroo island emu","obs_date",1827,1827,1827,NA,NA,NA,NA,NA
"Australasia",NA,NA,"Dromaius minor","King island emu","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Dryolimnas augusti","Reunion Wood rail","obs_date",1670,1670,1670,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Dryolimnas chekei","Cheke's Wood rail","obs_date",1683,1683,1683,NA,NA,NA,NA,NA
"Gambier*",NA,NA,"Ducula sp./Gambier","Mangareva Imperial pigeon","obs_date",1800,1900,NA,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Dysmorodrepanis munroi","Lanai hookbill","obs_date",1920,1920,1920,NA,NA,NA,NA,NA
"Vanuatu",NA,NA,"Eclectus infectus","Oceanic parrot","obs_date",1793,1793,1793,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Ectopistes migratorius","Passenger Pigeon","obs_date",1914,1914,1914,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Erythromachus leguati","Rodrigues rail","obs_date",1726,1761,NA,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Falco duboisi","Reunion kestrel","obs_date",1672,1672,1672,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Foudia delloni","Reunion fody","obs_date",1672,1672,1672,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Fregilupus varius","Reunion starling","obs_date",1860,1860,1860,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Fulica newtonii","Mascarene coot","obs_date",1700,1700,1700,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Gallicolumba sp./Rota","Rota large ground-dove","obs_date",1490,1610,NA,NA,NA,NA,NA,NA
"Austral*",NA,NA,"Gallicolumba sp./Rurutu2","Rurutu small ground-dove","obs_date",1700,1823,NA,NA,NA,NA,NA,NA
"Tristan*",NA,NA,"Gallinula nesiotis","Tristan moorhen","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Tonga*",NA,NA,"Gallirallus sp./Vavau","Vavau rail","obs_date",1793,1793,1793,NA,NA,NA,NA,NA
"Lord Howe*",NA,NA,"Gerygone insularis","Lord Howe Gerygone","obs_date",1936,1936,1936,NA,NA,NA,NA,NA
"Canaries*",NA,NA,"Haematopus meadewaldoi","Canary islands oystercatcher","obs_date",1950,1950,1950,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Hemignathus lucidus","Oahu nukupuu ","obs_date",1899,1899,1899,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Heteralocha acutirostris","Huia","obs_date",1907,1907,1907,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Himatione fraithii","Laysan honeycreeper","obs_date",1923,1923,1923,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Hypotaenidia dieffenbachii","Dieffenbach's rail ","obs_date",1872,1872,1872,NA,NA,NA,NA,NA
"Marquesas",NA,NA,"Hypotaenidia owstoni","Guam rail","obs_date",1987,1987,1987,NA,NA,NA,NA,NA
"Society*",NA,NA,"Hypotaenidia pacifica","Tahiti Rail","obs_date",1940,1940,1940,NA,NA,NA,NA,NA
"Fiji*",NA,NA,"Hypotaenidia poeciloptera","Bar-winged Rail","obs_date",1973,1973,1973,NA,NA,NA,NA,NA
"Norfolk*",NA,NA,"Hypotaenidia sp./Norfolk","Norfolk island rail","obs_date",1788,1788,1788,NA,NA,NA,NA,NA
"Wake*",NA,NA,"Hypotaenidia wakensis","Wake Island rail","obs_date",1945,1945,1945,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Ixobrychus novaezelandiae","New Zealand little bittern","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Lophopsittacus bensoni","Thirioux's Grey Parrot","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Lophopsittacus mauritianus","Raven Parrot","obs_date",1693,1693,1693,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Loxops wolstenholmei","Oahu akepa","obs_date",1930,1930,1930,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Mascarenotus grucheti","Reunion owl","obs_date",1650,1650,1650,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Mascarenotus murivorus","Rodrigues owl","obs_date",1726,1726,1726,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Mascarenotus sauzieri","Sauzier's owl","obs_date",1840,1840,1840,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Mascarinus mascarin","Mascarene parrot","obs_date",1834,1834,1834,NA,NA,NA,NA,NA
"Auckland*",NA,NA,"Mergus australis","Auckland Island Merganser","obs_date",1902,1902,1902,NA,NA,NA,NA,NA
"Solomon*",NA,NA,"Microgoura meeki","Choiseul pigeon","obs_date",1904,1904,1904,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Mitu mitu","-","obs_date",1988,1988,1988,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Moho apicalis","Oahu Oo","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Moho bishopi","Bishop's Oo","obs_date",1981,1981,1981,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Moho braccatus","Kauai Oo","obs_date",1987,1987,1987,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Moho nobilis","Hawaii Oo","obs_date",1934,1934,1934,NA,NA,NA,NA,NA
"Ascension*",NA,NA,"Mundia elpenor","Ascension crake","obs_date",1700,1815,NA,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Myadestes myadestinus","Kama'o","obs_date",1989,1989,1989,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Myadestes woahensis","Amaui or Oahu thrush","obs_date",1825,1825,1825,NA,NA,NA,NA,NA
"Mariana*",NA,NA,"Myiagra freycineti","Guam flightcatcher","obs_date",1983,1983,1983,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Nannococcyx psix","Saint Helena cuckoo","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Necropsar rodericanus","Rodrigues starling","obs_date",1726,1726,1726,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Necropsittacus rodricanus","Rodrigues parrot","obs_date",1761,1761,1761,NA,NA,NA,NA,NA
"Outer*",NA,NA,"Nesillas aldabrana","Aldabra Brush-Warbler","obs_date",1983,1983,1983,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nesoenas cicur","Mauritius turtle dove","obs_date",1730,1730,1730,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nesoenas duboisi","Reunion pink pigeon","obs_date",1750,1750,1750,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nesoenas rodericanus","Rodrigues turtle dove","obs_date",1726,1761,NA,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Nestor chathamensis","Chatham islands kaka","obs_date",1550,1700,NA,NA,NA,NA,NA,NA
"Norfolk*",NA,NA,"Nestor productus","Norfolk kaka","obs_date",1851,1851,1851,NA,NA,NA,NA,NA
"Bermuda",NA,NA,"Nyctanassa carcinocatactes","Bermuda night heron","obs_date",1600,1600,1600,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nycticorax duboisi","Reunion Night heron","obs_date",1674,1674,1674,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nycticorax mauritianus","Mauritius Night heron","obs_date",1700,1700,1700,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Nycticorax megacephalus","Rodrigues Night heron","obs_date",1761,1761,1761,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Papasula sp./Mascarenes","Mascarene Booby","obs_date",1832,1832,1832,NA,NA,NA,NA,NA
"Hawaii",NA,NA,"Paroreomyza flammea","Molokai creeper","obs_date",1963,1963,1963,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Pezophaps solitaria","Rodriguez Solitaire","obs_date",1770,1770,1770,NA,NA,NA,NA,NA
"Palearctic",NA,NA,"Pinguinus impennis","Great auk","obs_date",1852,1852,1852,NA,NA,NA,NA,NA
"Bermuda",NA,NA,"Pipilo naufragus","Bermuda towhee","obs_date",1612,1612,1612,NA,NA,NA,NA,NA
"Neotropic",NA,NA,"Podiceps andinus","-","obs_date",1977,1977,1977,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Podilymbus gigas","Atitlan Grebe","obs_date",1986,1986,1986,NA,NA,NA,NA,NA
"Marquesas",NA,NA,"Pomarea fluxa","Eiao monarch","obs_date",1982,1982,1982,NA,NA,NA,NA,NA
"Marquesas",NA,NA,"Pomarea nukuhivae","Nukuhiva flycatcher","obs_date",1951,1951,1951,NA,NA,NA,NA,NA
"Society*",NA,NA,"Pomarea pomarea","Maupiti monarch","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Chatham*",NA,NA,"Poodytes rufescens","Chatham fernbird","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Lord Howe*",NA,NA,"Porphyrio albus","Lord Howe Gallinule","obs_date",1834,1834,1834,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Porphyrio caerulescens","Reunion Blue gallinule","obs_date",1730,1730,1730,NA,NA,NA,NA,NA
"New Caledonia",NA,NA,"Porphyrio kukwiedei","New Caledonian gallinule","obs_date",1860,1860,1860,NA,NA,NA,NA,NA
"New Zealand",NA,NA,"Porphyrio mantelli","North Island takahe","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Marquesas",NA,NA,"Porphyrio paepae","Marquesan swamphen","obs_date",1937,1937,1937,NA,NA,NA,NA,NA
"Line*",NA,NA,"Prosobonia cancellata","Christmas sandpiper","obs_date",1850,1850,1850,NA,NA,NA,NA,NA
"Society*",NA,NA,"Prosobonia ellisi","Moorea sandpiper","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Society*",NA,NA,"Prosobonia leucoptera","Tahitian Sandpiper","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Australasia",NA,NA,"Psephotellus pulcherrimus","Paradise Parrot","obs_date",1927,1927,1927,NA,NA,NA,NA,NA
"Windward*",NA,NA,"Psittacara labati","Guadeloupe parakeet","obs_date",1800,1800,1800,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Psittacidae sp./Reunion","Reunion red and green parrot","obs_date",1674,1674,1674,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Psittacula exsul","Newton's Parakeet","obs_date",1875,1875,1875,NA,NA,NA,NA,NA
"Seychelles",NA,NA,"Psittacula wardi","Seychelles Parakeet","obs_date",1900,1900,1900,NA,NA,NA,NA,NA
"Saint Helena",NA,NA,"Pterodroma rupinarum","Large St Helena Petrel","obs_date",1502,1502,1502,NA,NA,NA,NA,NA
"Mascarenes*",NA,NA,"Pterodroma sp./Rodrigues","Rodrigues Petrel","obs_date",1725,1725,1725,NA,NA,NA,NA,NA
"Marquesas",NA,NA,"Ptilinopus mercierii","Red-moustached Fruit-Dove","obs_date",1950,1950,1950,NA,NA,NA,NA,NA
"Galapagos*",NA,NA,"Pyrocephalus dubius","Vermillion flycatcher","obs_date",1987,1987,1987,NA,NA,NA,NA,NA
"Nearctic",NA,NA,"Quiscalus palustris","Slender-billed Grackle","obs_date",1910,1910,1910,NA,NA,NA,NA,NA
